Finglish	Persian
tavousi dar daasht par ha ye khod ra mikand va door mirikht.	طاووسی در دشت پرهای خود را میکند و دور میریخت
chand bari vasvase shodam bargardam.	چند باری وسوسه شدم برگردم
el kaado ye tavalodat chi mikhahad begirad barayat.	ال:کادوی تولدت چی میخواد بگیره برات؟
avalan mrc az deght e hamegi, saniaan manzoor az chahar nesbat e tolid va karkonan ast.	اولاً مرسي از دقت همگي، ثانياً منظور از ٤ برابر نسبت توليد و كاركنان هست
saham teye haman dore az bazaar jelo zade ast.	سهام طی همان دوره از بازار جلو زده است
dastan haei ke emrooz be shoma gofte am nemoone ha ye tasaadofi nistand.	داستانهایی که امروز به شما گفتهام نمونههای تصادفی نیستند
bihoosh mishavad bache am in ghadr ke bihosele ast va khaste.	بی هوش می شه بچم،انقدر که بی حوصلست و خسته
aksar e farzandan e malek abdolaah dar in maraasem e aroosi sherkat karde boodand.	اکثر فرزندان ملک عبدالله در این مراسم عروسی شرکت کرده بودند
hata roo ye tavajoh e ma tassiir migozarad va meghdari az ghodrat e maghz e ma ra migirad.	حتی روی توجه ما تاثیر میگذارد و مقداری از قدرت مغز ما را میگیرد
yek zan e iraniol aasl tavanest vared e parleman e felorida shavad.	یه زن ایرانی الاصل تونست وارد پارلمان فلوریدا بشه
chand bari ke zang e  dar e ma ra zade bood va ejaze dadim biayad va beravad poshte bam e khaneshan.	چندباری که زنگ درمون رو زده بود و اجازه دادیم بیاد و بره پشت بوم خونشون
seda ye zang e dar oo ra be khod miavard.	صدای زنگ در او را به خود می اورد
man masool e livan ha hastam.	من مسئول ليوان ها هستم
vahid aan eynaak mal e kiee?	وحید اون عينک مال کيه؟
chand bar begam dozdi dar kar nist,eshare bemostraah, moshkel aanhjast.	چند بار بگم دزدی در کار نیست اشاره به مستراح مشکل از اونجاست.
chera man ra aavardid inja?	چرا من رو آوردي اينجا؟
chetor, chetor taghsir e to ast?	چطور؟ چطور تقصير توئه؟
pas chera aan harf ra zad?	پس چرا اون حرف رو زد؟-
khob agar madyoon e aan hastim.	خب اگه مديون اون هستيم
trump gofte ast bensalman bishtar az man az jenaayat nefrat daarad.	ترامپ گفته بن سلمان بیشتر از من از جنایت نفرت دارد
bayad saayeman ra bokonim.	بايد سعيمون رو بکنيم؟-
aan ha makhsoosan dar mord e ayande yesan negaran hastand.	آنها مخصوصاً درمورد آیندهشان نگران هستند
in harf ha aashnaa be nazar miresad.	این حرفها آشنا به نظر میرسید
fekr konam oon farar kard.	فکر کنم اون فرار کرد
vaghti aksi ra jaei montasher mikonid, ghablash khoob baresi ash konid.	وقتی عکسی رو جایی منتشر میکنید قبلش خوب بررسیش کنید
chi refigh, na man faghat slide misazam.	» «چی؟ رفیق، نه، من فقط اسلاید میسازم
ma gozareshi ra dar bist keshvar montasher kardim ke dar aan khataa haye amniati ra bayan mokard, va besiari az mozooat e moshkel saz e digar ra.	ما گزارشی را در ۲۰ کشور منتشر کردیم، که در آن خطاهای امنیتی را بیان میکرد و بسیاری از موضوعات مشکل ساز دیگر را
na na , henry dovomi ast.	نه،نه، هنري دوميش هست
vali feshar e ziadi room bood.	ولي فشار زيادي روم بود
cheghadr aroom mishavad goft?	چه قدر آروم ميشه گفت ؟
chizi ke fekr mikonid vaghti peer shodid mishid?	چیزی که فکر می کنید وقتی پیر شدید میشید
in naghashi ra ghablan dide am.	اين نقاشي رو قبلا ديدم
gomesh kardei han? taajobi ham nadarad.	گمش کردی، ها؟ تعجبی هم نداره
in aparteman e dokhtar ha ast.	!اين آپارتمان دخترهاست
tasmimaat e khodavand az ghdrat e dark e maa khrej ast, amaa hamishe be sood e ma ast.	تصمیمات خداوند از قدرت درک ما خارج است اما همیشه به سود ما می باشد
in namayesh e hafte ye baad bood.	اين نمايش هفته بعد بود
man faghat hang e hafa hayash boodam ke yeho goft:man nemikhaham alaan javabam re bedin, beravid khoob fekr konid, har vaght be natije residid behem begooid.	من فقط هنگ حرفاش بودم که یهوگفت من نمیخوام الان جوابمو بدین برین خوب فک کنین هر وقت به نتیجه رسیدین بهم بگین
too zendegi ye ma faghat aab va havaa ast ke tagheer mikonad.	تو زندگی ما فقط آب و هواس که تغییر میکنه
hichi nagoftam.	هیچچی نگفتم
man va maman har rooz mirim biroon va khosh migzaroonim.	من و مامان هر روز میریم بیرون میگردیم و خوش میگذرونیم
joei oon ra bezaresh zamin.	جويي ، اونو بزارش زمين
man mikhaham bishtar bedanam.	من مي خوام بيشتر بدونم
man ke yek kot napooshidam.	من که يه کت نپوشيدم
dari kheili sakhtesh mikoni.	!داري خيلي سختش مي کني
jang e jahani e baadi payani bara ye zamin khahad bood.	جنگ جهانى بعدى پايانى براى زمين خواهد بود
man goftam moraghebeshan bashi.	من گفتم مراقبشون باشي
jaaye daghighan?	جای دقیق ان؟
yad begirin bebinid che joori az pesaresh harf mizanad.	یاد بگیرین، ببینین چجوری از پسرش حرف می زنه.
neshan e kooh navard e arshad.	نشان کوهنورد ارشد
dar edame ye mashrooh e sohbat ha yecapitan e team e meli e valleyball banovaan.	"در ادامه مشروح صحبت های کاپیتان تیم ملی والیبال بانوان با خبرنگار ""ورزش سه"" را می خوانید "
agar gharar bood ghrize aadi shavad, chera zan bara ye shoharash aadi nemishavad.	اگه قرار بود غریزه عادی بشه چرا زن برای شوهرش عادی نمیشه؟
bayad ayanei motohavel va mokhareb ra pishbini konim agar tafakor e kharej az janbe dashte bashim.	باید آیندهای متحول و مخرب را پیشبینی کنیم اگر تفکر خارج از جعبه داشته باشیم
bayad beravam ben ra bardaram.	.بايد برم بن رو بردارم
man dar sandalimam froo raftam va bi sabrane montazer e payan e jalase boodam.	من در صندلیم فرو رفتم، و بیصبرانه منتظر پایان جلسه بودم
pas betor e kholase dar hal e hazer ma dar se saal tahaghogh e amali e tosee paydar bayad yek khata rasm konim va natije begirim ke be ghol hayeman amal nemikonim.	پس، بطور خلاصه: در حال حاضر، ما در سه سال تحقق عملی اهداف توسعه پایدار باید یک خط رسم کنیم و نتیجه بگیریم که به قولهایمان عمل نمیکنیم،
boro baba toam, zesht e sht e.	برو بابا توام! زشته! زشته!
agh in aval e sobhi che doaei re pishnahad midehi behemaan.	اقا این اول صبحی چه دعایی رو پیشنهاد میدی بهمون؟
oh az oon dar vared nasho.	اوه از اون در وارد نشو
man chand ta navar ra didam.	من چند تا نوار رو ديدم
in khane khreghol ade ast.	!اين خونه خارق العادست
pire mard e bimaar negaran ast shayad digar zende namanad.	پیرمرد بیمار نگران است شاید دیگر زنده نماند
vali bebinam gonde hastesh?	ولي ببينم ، گنده هستش؟
dar bangeladesh ma hamkarani darim ke darand dah ha hezar javaan ra dar zamie ye faani amouzesh midahand ta betavanand mecanic e motor ya khdamat e telephon e hamraah shavand.	در بنگلادش، ما همکارانی داریم که دارند دهها هزار جوان را در زمینه فنی آموزش میدهند، تا بتوانند مکانیک موتور، یا خدمات تلفن همراه بشوند
beshin amee khoadam dar ra baz mikonam.	بشین امنه.خودم در رو باز می کنم.
baham sharab e sib khordim.	.با هم شراب سيب خورديم
omran jan va berry ra bebinand ke dar cafe ye holz food ghahve bezanand.	عمرا جان و بری را ببینید که در کافه هولز فود قهوه بزنند
shabih nist vagheaan yek sag ast.	شبیه نیس، واقعا یه سگه
chon oon naghsh kheili khoobe.	چون اون نقش خيلي خوبه
salam refigh hame ash ra nakhor.	سلام، رفیق همشو نخور
zamani ke dooste man dokonat dar sal e do hezaro yek modir aamel e sherkat e soup e cample shod arzesh e saham e sherkat be tazegi be nesf reside bood.	زمانیکه دوست من دوگ کونانت در سال ۲۰۰۱ مدیرعامل شرکت سوپ کمپل شد، ارزش سهام شرکت به تازگی به نصف رسیده بود
oon shanzdah saal pish bood.	اون شانزده سال پيش بود
barname dari gharar nemidi.	برنامه داري قرار نميدي
na hanooz ham short mipooshan.	نه ، هنوزم شرت مي پوشن
dar khelal e sohbat hayash, khod ra ba kaaghaz sargarm kardam.	در خلال صحبتهایش خود را با کاغذها سرگرم کردم
be dardetan ke nemikhorad.	به دردتون که نميخوره-
fekr konam hich kas be andaze ye man khosh hal e bargashtan e ali nist.	فکر کنم هیچکی اندازه من خوشحال برگشتن علی نیست
fateme salehi, dokhtaram sre dar paark saei mikard sakhre navardi konad.	فاطمه صالحی: دخترم ساره سعی میکرد توی پارک صخرهنوردی کند
ba yek morabi va meghdari boodje yek app e jadid tarahi kardand ke be jameeshan komak konad.	با یک مربی و مقداری بودجه، یک اپ جدید طراحی کردند که به جامعهشان کمک میکند
man vaghean mikhaham begiramash.	من واقعا ميخوام بگيرمش
par ha ye to az bas ziba ast mardom bara ye neshani dar mian ghoran migozarand ya ba aan bad bezan dorost mikonanad, chera nashokri mikoni?	پرهای تو از بس زیباست مردم برای نشانی در میان قران میگذارند یا با ان باد بزن درست میکنند چرا ناشکری میکنی؟
dar nazar begirid ke lazem ast aan ra benevisid.	در نظر بگیرید که لازم است آنرا بنویسید
gonjeshki ba ajale va tamam e tavan be ataash nazdik mishod va barmigasht.	گنجشکی با عجله و تمام توان به آتش نزدیک می شد و برمی گشت!
amaa ghorooreman kol e keyhaan ra dar bar gerefte va khod ra yegane hooshmand e hasti midanim.	اما غرورمان كل كيهان را در برگرفته و خود را يگانه هوشمند هستی ميدانيم
rafte too kasi nist too ye hayat.	رفته تو.کسی نیست تو حیاط.
kodaam jabe ha maal man ast?	کدوم جعبه ها مال منه ؟
jash in ha doostam hastand.	جاش ، اينا دوستام هستن
ma be tafakor e radikal niazmandim.	ما به تفکری رادیکال نیازمندیم
mitoni yekam pool bechini.	ميتوني يه کم پول بچيني
pas hich mojezei nabood?	پس هيچ معجزه اي نبود ؟
va besiari digar.	و بسیاری دیگر
mishnavam che migooei, mitavani.	ميشونم چي ميگي. ميتوني
be safar e yek sale ye khod be sarzamini gom shode edame dadam.	به سفر یک ساله خود به سرزمین گمشده ادامه دادم
faghat lotfan ba man sohbat kon.	فقط لطفا با من صحبت کن
bache inja che kaar mikoni?	بچه اینجا چیکار می کنی؟
yadat hast behet migoftam agar to beravi mimiram.	یادته بهت می گفتم اگه تو بری می میرم
manzooram in ast ta aan jaei.	منظورم اينه تا اونجايي
ensan bana be tahghighat khod ra dast e bala migirad.	انسان، بنابه تحقیقات، خود را دست بالا میگیرد در توانایی به خاطر آوردن دقایق مهم احساسی پس از گذشت مدت زمانی
man be komak e to ehtiaji nadaram.	من به کمکت احتیاجی ندارم
bashe, daram miayam biroon.	باشه ، دارم ميام بيرون
va edei digar khahand goft ke ravesh ha ye mord e estefade ye aan ha fahesh ast.	و عدهای دیگر خواهند گفت که روشهای مورد استفاده آنها فاحش است
va be maghamat e amricaei tose mikonim ke ebteda ba nezamian khod dar khalij e fars sohbat konand va sepas ezhar e nazar konand.	وبه مقامات آمریکایی توصیه می کنیم که ابتدا با نظامیان خود در خلیج فارس صحبت کنند و سپس به اظهار نظر بپردازند
mikha shoma in ra peigiri konid va jaha ye khali ra por konid.	میخواهم شما این را پیگیری کنید و جاهای خالی را پر کنید
oou yek motokhases e nabeghe ast.	اون يک متخصص نابغه هست
zaheran mibayesti ke pish az ghatl nazaei shode bashad zira alaf ha va saghe ha ye khezaran atraaf e hame shekaste va khord shode bood.	ظاهرا میبایستی که پیش از قتل نزاعی شده باشد زیرا علفها و ساقههای خیزران اطراف همه شکسته و خورد شده بود
tamami e in mavaared dar donya ye emrooz etefagh mioftad.	تمامی این موارد در دنیای امروز اتفاق میافتد
digar az roozi ke rafti hata khabat ra ham nadidam.	دیگه از روزی که رفتی حتی خوابتم ندیدم
albate anaam ra migiram.	البته انعام رو می گیرم
har koja ke bashid marg shoma r abar migirad.	هرکجا که باشید مرگ شما را درمیابد
dashtim ba yek takhte sang harf mizadim?	داشتین با یه تخته سنگ حرف می زدین
akhe ba in gerooni e sigar man ta filter e sigar ra nakesham fekram aroom nemishavad.	اخه با این گرونی سیگار من تا فیلتر سیگار رو هم نکشم که فکرم اروم نمیشه
az apartemaan khabari nashod?	از آپارتمان خبري نشد ؟
mikhan ghahve khaane bokonandesh.	ميخان قهوه خونه بکننش
khob che maani darad khahar shohar beravad beshinad va ba doostanash gap bezanad va aroos bigaari konad.	خب چه معنی داره،خواهرشوهر بره بشینه و بادوستاش گپ بزنه و عروس بیگاری کنه
vaghti tamaam shod barashgardaan.	وقتي تموم شد برش گردون
ama aya dar hes e ndorosti az amniat khaab rafteim? aya rahati ba click bar rooye yek jabe aaghaz mishavad?	اما آیا ما در حس نادرستی از امنیت به خواب رفتهایم؟ آن به راحتی با کلیک برروی یک جعبه آغاز میشود
in chizi ast ke emaal feshaar minaamim.	این چیزی است که اعمال فشار مینامم
bashe ramzi harf mizanam.	باشه ، رمزي حرف مي زنم
be rasti shayad kafsh hyam bara yat nakhoshayand baashad.	پلاستیک کفشهام شاید برات ناخوشایند باشه
mitavaani bahash tanhaa basi.	ميتوني باهاش تنها باشي
va khoda mrgam bedahad chetor mage shod moones joon?	وا خدا مرگم بده چطور شده مگه مونس جون؟
ba dastash yek moosh e zende ra migirad.	با دستش یه موش زنده رو میگیره.
mishavad yek raazi ra be shoma begooyam?	میشه یه رازی بهتون بگم؟
takhasos e oun dar tolid e etelaat e ghalat bood.	تخصص اصلی او در تولید اطلاعات غلط بود
dar kodaam mogheiat makaani va koja etefagh oftad pas az rokhdad az aan ba chekasi harf zadid?	در کدام موقعیت مکانی و کجا اتفاق افتاد؟ پس از رخداد از آن با چه کسی حرف زدید؟
balke vageaan tarsnaak ast.	بلکه واقعاً ترسناک است
agar shoma fard e momtazi hastid, shomaa raahat tar mitavanid az ham peymaanaaan hemaayat konid.	اگر شما فرد ممتازی هستید، شما راحتتر میتوانید از همپیمانان حمایت کنید
emkan nadaarad, magar momken ast? ba aghl va mentefg joor dar nemiaayad.	امکان نداره؟ مگه ممکنه؟ با عقل و منطق جور در نمیاد.
mikhaaham beravam soushi bokhoram.	.ميخام برم سوشي بخورم
che tori havaas khod raa part konim taa dast az sar kermanshaah bardaarad	چجوری حواس خدا رو پرت کنیم تا دست از سر کرمانشاه برداره
to cheraa biroon istaadi?	تو چرا بيرون واستادي ؟
refigh in doost dokhtar man ast	رفيق اين دوست دختر منه
zad va band daashtan ya in ke inaa baa ham yek zad va bandi daashtand	زدو بند داشتن یا اینکه اینا باهم یه زدو بندی داشتن
baashad alaan man shookhi kardam	باشه الان من شوخي کردم
az jeloy man boro aan taraf	از جلوي من برو اونطرف
dovom che kasi aanjaa bood? shaahedi hozoor daasht? in dar edaame besyar zaroori khaahad bood	دوم، چه کسی آنجا بود؟ آیا شاهدی حضور داشت؟ این در ادامه بسیار ضروری خواهد شد
begzaar delkhosh baasham maadar bad hasht saal ke delam baz shode begzaar raahat baasham	بذار دل خوش باشن مادر بعد هشت ساله که دلم باز شده بذار راحت باشن.
baraaye mesaal avalin eraa e i ke dar sherkat daashtam	برای مثال، اولین ارائهای که در شرکت داشتم
khial kardam khodaa biaamorz shodim	خیال کردم خدا بیامرز شدین
hich kasi ham nist baghalash konam	هيچکي هم نيست بغلش کنم
sobh ham baa maamaan va baabaa raftim biroon	صبح هم با مامان و بابا رفتیم بیرون
aan ham agar biaayand	اونم اگه بیان
kaashef fogholaade sarzaminhaay door oftaade	کاشف فوق العاده ی سرزمینای دور افتاده
hame sobh haa ham naboodash	.همه صبحها هم نبودش
dor otaagh donbaalash mikonim	دور اتاق دنبالش مي کني
che tor be nazar miresad vaghti	چطور به نظر ميرسه وقتي
soraagh maadaraan shahrestani ham raftam	سراغ مادران شهرستانی هم رفتم
biaaeid ye kam harf bezanim	بياين يه کم حرف بزنيم
man baa fibi barnaame daaram	من با فيبي برنامه دارم
kam kam aadat kardam be fazaa va vaghti be khodam aamadam didam yek maah az daaneshgaah gozashte	کم کم عادت کردم به فضا و وقتی به خودم اومدم دیدم یکماه از دانشگاه گذشته
aare aare maa aan raa daashtim	اره اره ما اونو داشتيم
aan haa motaghedand baa in kaar kamtar mesl rahbaraan be nazar miresand	آنها معتقدند با اینکار کمتر مثل رهبران به نظر میرسند
amaa dar yek negah samaanvand vojood daarad ke dar yek porose mamoolan toolaani shomaa raa be ghalat farib dade va be baavar be chizi motmaen mikonad	اما در یک نگاه سامانمند وجود دارد، که در یک پروسه معمولاً طولانی شمارا بهغلط فریب داده و به باور به چیزی مطمئن میکند
edi joei aan raa dide?	ادي، جوئي اون رو ديده
va migi in vaasat ajibe	و ميگي اين واست عجيبه؟
daaram migam daaram migam	دارم ميگم! دارم ميگم
yek baar in ro gofteam na?	یه بار اینو گفتم، نه؟
faghat nemidoonam che tori mishavad aabshaar behesht	فقط نمی دونم چه جوری میشه رفت ابشار بهشت
film haa doorbin makhfi haa shaan raa didim?	فیلمای دوربین مخفی هاشونو دیدین؟
to vaaghean too kaar amlaaki	تو واقعا تو کار املاکي
vasse hamin baraaye yek hafte	واسه همين براي يه هفته
na maadaram too otaaghesh ast	نه مادرم توی اتاقشه
dar saal 2013 man modir ejraaei yek moasese mohandesi beynolmelali boodam dar saanferaansisko	در سال ۲۰۱۳، من مدیر اجرایی یک موسسه مهندسی بینالمللی بودم در سانفرانسیسکو
aare delam mikhaad che toram	آره دلم می خواد، چه جورم
pezeshk moaalej vaziat bimaari minaa raa baraaye baraadar 7 saale oo tozih daad	پزشک معالج،وضعیت بیماری مینا را برای برادر هفت ساله او توضیح داد
fekr nemikardam ke dokhtar haa	فکر نمي کردم که دخترها
nasl azimi az javaanaan dar shorof be ers bordan donyaa maa hastand	نسل عظیمی از جوانان در شرف به ارث بردن دنیای ما هستند
mikhaahad beravad dast be aab	می خواد بره دست به آب
nemidaanam ghadim che esraari daashtand bache hamishe kachal baashad	نمیدونم قدیم چه اصراری داشتن بچه همیشه کچل باشه
tolid etelaa'aat ghalat be ghadri ahamiat daasht ke har rooz kaa ge be movazaf bood 25 darsad az zamaan khod raa dar har rooz be tolid ide haa baraaye enteshar etelaa'aat ghalat ekhtesas dehad	تولید اطلاعات غلط بهقدری اهمیت داشت که هر عضو کاگب موظف بود 25% از زمان خود را در هرروز به تولید ایدهها برای انتشار اطلاعات غلط اختصاص دهد
salaam chi fekr mikonin?	سلام ، چي فکر مي کني؟
ba in barnaame goroohi be dast miayad ke tasmim migirand moshkel haml va naghl raa hal konand baraaye maloolaan jame'e shaan	با این برنامه گروهی به دست میآید که تصمیم میگیرند مشکل حمل و نقل را حل کنند برای معلولان جامعهشان
baa yek maahiat va be haalat haa mokhtalef	با یک ماهیت و به حالتهای مختلف
to baa in haa zediat daari	تو با اينها ضديت داري
vali sabr konid injaa yek noghte roshan ast	ولی صبر کنید -- اینجا یک نقطهٔ روشن است
khodam ham ke faghat mikhaabam emrooz baa koli zahmat saa'at 11 bidaar shodam va koli asabaani boodam ke cheraa bidaar shodam	خودمم که فقط میخابم،امروز با کلی زحمت ساعت 11 بیدارشدم،وکلی عصبانی بودم که چرا بیدار میشم
har 7 daghighe yek nojavaan dokhtar yaa pesar dar jaaei az donyaa be dalil khoshoonat be ghatl miresad	هر ۷ دقیقه یک نوجوان دختر یا پسر در جایی از دنیا به دلیل خشونت به قتل میرسد
agarche dir yaa zood bishtar kaarkonaan bi adab movafaghiateshaan raa kharaab mikonand	اگرچه دیر یا زود، بیشتر کارکنان بیادب موفقیتشان را خراب میکنند
na yek vasile sargarmi ke	نه يه وسيله سرگرمي که
rafigham mosesh raa aavard	رفيقمو واسه شام آوردم.
to jedi kaaleske mikhaahi?	تو جدي کالسکه ميخواي؟
man mikhaaham baa to beraghsam	من ميخوام با تو برقصم
balke etefaghi	اميدوارم که اتفاقي
ghabl az in ke parvaaz konim	قبل از اينکه پرواز کني
aan mesaal kaamelan motafaavet raa dar nazar begirid sandogh baazneshastegi moalemaan shikago yek sarmaaye gozaar aagaah 10 meliaard dolaari	حال مثالی کاملاً متفاوت را در نظر میگیریم: صندوق بازنشستگی معلمان شیکاگو، یک سرمایهگذار آگاه ۱۰ میلیارد دلاری
daastaanash mofasal va jaaleb ast	داستانش مفصل و جالبه
salaam man dokhtari hastam az jonoobam az khoozestaan	سلام من دختری هستم از جنوبم از خوزستان
nemishavad jelooyash moghaavemat kard	نمي شه جلوش مقاومت کرد
said man yek soaal daaram	سعید من يه سوال دارم.
gamoon nakonam oo ham ziad az inja fasele daashte baashad	گمون نکنم اونم زیاد از اینجا فاصله داشته باشه
yek maadar shohar daaram migoft age talaa haam raa gom nemikardam miforokhtam va midaadam behetoon va che ghadr afsoos mikhord ke nemitoone komakemoon kone	یه مادرشوهردارم: میگفت اگه طلاهامو گم نمیکردم میفروختم و میدادم بهتون و چقد افسوس میخورد که نمیتونه کمکمون کنه
che ghadr darham va barham shod maloom nist chi be chi ast	چقد درهم وبرهم شد،معلوم نیست چی به چیه
khob in amn maand monjar be chi shod? kaylo dar keshvar aalmaan mamnoo shod	خوب این امر منجر به چه شد؟ کایلا در کشور آلمان ممنوع شد
mamnoon komak nemikhaam	ممنون، کمک نمی خوام
magar yeki harf bezanad	مگه اينکه يه حرفي بزني
maashin raa gozaashte boodim injaa va aamadeand kaapootash raa dozdideand faghat	ماشینو گذاشته بیرون اومدن کاپوتشو دزدیدن فقط
in dard sarmsaam aavari ast	این عدد سرسام آوری است
man ghazie raa tarif mikonam	من قضيه رو تعريف ميکنم
yani jedi ghabool mikoni?	يعني جدي قبول مي کني ؟
haalaa adam ta'aadol ghodrat paaydaar shode ast ziraa maa baa jamaavari etelaa'aat shakhsi va estefade az aanhaa dar sathi ke ghaabel tasavor nist movaafeghat kardeim	حالا، عدم تعادل قدرت پایدار شده است، زیرا ما با جمعآوری اطلاعات شخصی و استفاده از آنها در سطحی که قابل تصور نیست موافقت کردهایم
baraadar ahmagh moonika hastam	برادر احمق مونيکا هستم
rooz jahaani saalmandan raa be taktak javaan haaye iraan tabrik migam	روز جهانی سالمندان رو به تک تک جوونای ایران تبریک میگم
moghei ke dashtam dandaan haayam raa mesvaak mizadam	موقعی که داشتم دندونامو مسواک می زدم
man mikhaaham injaa bemaani	من مي خوام اينجا بموني
nemitavaanam in kaar raa bokonam	نمیتوانم این کار را بکنم
khaane mehr baazneshastegaan ajab	خانه ی مهر بازنشستگان، عجب
to roopoosh sefid mipooshi	.تو روپوش سفيد مي پوشي
shomaa be del nagir moones khaanom	شما بدل نگیر مونس خانم.
hich chiz digar 8 aban bordam kaado raa daadam behesh	هیچی دیگه ۸ آبان بردم کادو رو دادم بهش
yani agar dar firizer baashad	يعني اگه تو فريزر باشه
hanooz baavar nadaaram ke to nisti va man hastam	هنوزم باور ندارم که تو نیستی و من هستم
dorost mesl avalin gharaaremoon	درست مثل اولين قرارمون
cheraa baraaye goldaani ke vaght va zahmat bishtari borde ast hamaan pool goldaan saade raa migiri?	چرا برای گلدانی که وقت و زحمت بیشتری برده است همان پول گلدان ساده را می گیری؟
aah bale albate khaane khodetaan ast man chekaream	آه بله البته خونه خودتونه. من چیکاره ام؟
raast baavaram nemishavad gofti	راس ، باورم نميشه گفتي
yek parande nadidan?	یه پرنده ندیدن؟
saaghe haaye kheyzaraan atraaf jasad hame khooni bood	ساقههای شکسته خیزران اطراف جسد همه خونی بود
mamnoon nemikhaad az belit estefaade mikonam	ممنون،نمی خواد،از بلیط استفاده می کنم
digar cheshmhayam raa nemikhaaham nemikhaaham bebinam	دیگه چشمام و نمی خوام نمی خوام دیگه ببینم!
be gozaaresh aljazire ghatar elaam kard ke as ebtedaye zhaanvie az opek khaarej mishavad	به گزارش الجزیره،قطر اعلام کرد که از ابتدای ژانویه از اوپک خارج می شود
vazir ke dar aanjaa bood goft negaraan nabaashid tamaam chiz haayi ke rokh midehad dar jahat kheyr va salaah shomaast	وزیر که در انجا بود گفت:نگران نباشید تمام چیزهایی که رخ میدهد در جهت خیر و صلاح شماست !
jedi to yek antern hasti?	جدي تو يه انترن هستي ؟
nafahmidam hamash in haminghadr mitavaani?	نفهمیدم همش همینقد می تونی؟
emrooz naresidam beravam film begiram baraaye bacheam	امروز نرسیدم برم شیر بگیرم برا بچم
cheraa chon kheyli feshaar aavard va dar in ravand 300 melioon dolaar kaaseb shod?	چرا؟ چون بری فشار آورد، و در این روند ۳۰۰ میلیون دلار کاسب شد
baaes eftekhaar ast to movafagh shodim	باعث افتخاره تو موفق شدی
be koori cheshm doshmanaan kharidam khoobesham kharidam	به کوری چشم بعضی ها خریدم، خوبشم خریدم!
badesh bordamesh be panaahgaah	.بعدش بردمش به پناهگاه
zare zare ghatre ghatre misoozam amaa mimaanam	ذره ذره٬قطره قطره٬ میسوزم اما میمونم
man ke khoone nistam hich vaght	من که خونه نیستم هیچ وقت.
parvaane jaan bro baaz kon dar raa khoda kheyret bedehad	پروانه جان برو باز کن درو خدا خیرت بده.
kodaam mard be rang mooye maadarash tavajoh mikonad?	کدوم مرد به رنگ موی مادرش توجه می کنه
haalaa khoob ast maamaan too javaanish khodash aatash paarei boode haa	حالا خوبه مامان توی جوونیش خودش اتیش پاره ای بوده ها.
pesar man in hame zajr tahamol kard ke avaz nashavad na khodash na chiz haaye digar	پسر من اینهمه زجر تحمل کرد که عوض نشه، نه خودش نه چیزای دیگه.
vaghti miravam khaane az vaghti miresam taa vaghti ke bargardam yek riz harf mizanam	وقتی میرم خونه،ازوقتی میرسم تا وقتی که برگردم یه ریز حرف میزنم
shenidid ke migooyand aamadim savaab konim kabaab shodim hekaayat mamaan man ast	شنیدین که میگن اومدیم ثواب کنیم کباب شدیم؟حکایت مامانه منه
yaa maashin chizish shode ke polis mifahmad az jaaye barkhord moghaser ki ast	یا ماشین چیزیش شده که پلیس می فهمه از جای برخورد مقصر کیه
baraaye ketaab kharidan lebaas kharidan pesaram masihaa rang haaye mokhtalef lebaas raa daarad	برای کتاب خریدن، لباس خریدن پسرم مسیحا رنگهای مختلف لباس دارد
pas faghat aghab beistid va goosh dahid	پس فقط عقب بایستید و گوش دهید
goftand hajm aatash dar moghaayese baa aabi ke to miaavari besyaar ziaad ast va in aab fayedei nadaarad	گفتند : حجم اتش در مقایسه با ابی که تو می اوری بسیار زیاد است ! و این اب فایده ای ندارد!
to midaani man daaram	. تو ميدوني من دارم
be doktor viner zang mizanam	به دکتر وينر زنگ ميزنم
paasokh mideham har aanche az man bar miaamad	پاسخ میدم : هر آنچه از من بر می آمد!
ziaad ham aaheste raah naro	زياد هم اهسته راه نرو
baraayash rish va sibil keshidam	براش ريش و سيبيل کشيدم
vaghti polis haa paarti deleshaan mikhaahad va shoma az paarti bizaarid	وقتي پليسا پارتي دلشون مي خواد و شما از پارتي بيزاريد
oo tamizeshaan nakarde bood	اون تميزشون نکرده بود
be nazaram jaaleb aamad gozaashtam	به نظرم جالب اومد گذاشتم
badesh jaam bood postchim	بعدش جان بود ، پستچيم
dar nazar begirid ke laazem ast aan raa benevisid	در نظر بگیرید که لازم است آنرا بنویسید
man yek meghdaar khashmgin shodam	من يک مقدار خشمگين شدم
aksar farzandaan malek abdolaah dar in maraasem aroosi sherkat karde boodand	اکثر فرزندان ملک عبدالله در این مراسم عروسی شرکت کرده بودند
baraaye hamin kheyli vaght haa moshtari haa in aapshen raa daarand ke agar nerkh bahre baank az khodrosaaz paaintar ast	براي همين خيلي وقتها مشتريها اين آپشن رو دارن كه اگه نرخ بهره بانك از خودروساز پايينتره،
eyn sooraakh moosh mimaanad	عين سوراخ موش مي مونه
in tori ham digar raa sedaa bezanim	اینطوری همدیگه رو صدا بزنیم
vakman man raa ham pas bede	!واکمن من رو هم پس بده
tooye yek otaagh band nemishavam	توي يه اتاق بند نميشن
pas maa donbaal raah hal haaye pishrafte hastim raah hal haaye jadid	پس ما دنبال راهحلهای پیشرفته هستیم راهحلهای جدید
man yek hedie koochak daaram	من يه هديه کوچيک دارم
